epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.736,1.75704,2.24923,1.39916,0.55207,0.49601,0.48967,0.25004,1.73481,1.58289,1.40191,0.00033292,0.00033292,0.00033292
2,193.396,1.72698,1.67782,1.38687,0.5846,0.52435,0.54711,0.28614,1.6984,1.47331,1.39201,0.000644267,0.000644267,0.000644267
3,282.822,1.68943,1.50288,1.37737,0.57959,0.56306,0.57813,0.29822,1.71323,1.37441,1.39752,0.000933614,0.000933614,0.000933614
4,371.887,1.69134,1.44469,1.38858,0.62529,0.58901,0.61278,0.32165,1.69293,1.28704,1.38518,0.000901,0.000901,0.000901
5,460.68,1.67259,1.371,1.37076,0.60877,0.58894,0.61635,0.33319,1.65725,1.25676,1.3762,0.000868,0.000868,0.000868
6,549.064,1.65025,1.31436,1.35666,0.62529,0.59997,0.62193,0.34362,1.6432,1.23204,1.3504,0.000835,0.000835,0.000835
7,637.707,1.62987,1.27201,1.34765,0.6702,0.59408,0.64254,0.34923,1.64666,1.20128,1.3638,0.000802,0.000802,0.000802
8,725.91,1.61626,1.24988,1.34215,0.66676,0.6018,0.65449,0.36344,1.62377,1.17007,1.35435,0.000769,0.000769,0.000769
9,814.845,1.61379,1.23033,1.33771,0.66256,0.61484,0.67481,0.37744,1.63426,1.14473,1.34612,0.000736,0.000736,0.000736
10,903.598,1.59655,1.20983,1.32409,0.63382,0.64465,0.671,0.37152,1.60866,1.14497,1.33656,0.000703,0.000703,0.000703
11,992.259,1.58576,1.186,1.3195,0.66089,0.64793,0.69104,0.38114,1.6269,1.09813,1.35123,0.00067,0.00067,0.00067
12,1081.4,1.57911,1.17315,1.31746,0.66085,0.64065,0.69131,0.38554,1.60257,1.0993,1.33109,0.000637,0.000637,0.000637
13,1169.54,1.57816,1.15407,1.31043,0.69268,0.6428,0.70388,0.399,1.59835,1.07358,1.32478,0.000604,0.000604,0.000604
14,1258.31,1.57106,1.14648,1.3027,0.65869,0.65919,0.70637,0.3996,1.58476,1.06952,1.30421,0.000571,0.000571,0.000571
15,1347.13,1.55619,1.12209,1.29709,0.68783,0.64388,0.70401,0.40129,1.58711,1.05941,1.31602,0.000538,0.000538,0.000538
16,1435.64,1.55174,1.12392,1.29641,0.68177,0.65858,0.71145,0.40579,1.57947,1.0422,1.30738,0.000505,0.000505,0.000505
17,1524.28,1.5531,1.11679,1.29633,0.6722,0.6762,0.71781,0.40891,1.58038,1.03908,1.31649,0.000472,0.000472,0.000472
18,1612.67,1.54472,1.09762,1.28908,0.69029,0.68025,0.73114,0.41587,1.58012,1.01157,1.30518,0.000439,0.000439,0.000439
19,1701.39,1.52884,1.0764,1.28725,0.66344,0.68995,0.72083,0.41704,1.56753,1.01746,1.30231,0.000406,0.000406,0.000406
20,1790.04,1.52123,1.073,1.28145,0.6879,0.67377,0.72633,0.41658,1.56927,1.01375,1.29985,0.000373,0.000373,0.000373
21,1878.48,1.57546,1.03758,1.31193,0.69303,0.67961,0.73542,0.42105,1.57237,1.00285,1.30016,0.00034,0.00034,0.00034
22,1967.04,1.55997,1.01693,1.30309,0.6921,0.6825,0.73304,0.42424,1.55946,0.99681,1.29553,0.000307,0.000307,0.000307
23,2055.18,1.55478,1.00488,1.30731,0.69485,0.68157,0.74036,0.42695,1.56101,0.98889,1.29937,0.000274,0.000274,0.000274
24,2143.27,1.54413,0.99593,1.29931,0.69675,0.68786,0.73958,0.42729,1.56672,0.98709,1.30683,0.000241,0.000241,0.000241
25,2231.21,1.53535,0.98452,1.29326,0.69071,0.69834,0.74274,0.42935,1.55693,0.97776,1.28423,0.000208,0.000208,0.000208
26,2319.54,1.53027,0.97627,1.28595,0.68868,0.69316,0.74588,0.43266,1.55376,0.97426,1.2947,0.000175,0.000175,0.000175
27,2407.59,1.51946,0.96386,1.28347,0.69464,0.70441,0.74881,0.43604,1.55169,0.96153,1.2869,0.000142,0.000142,0.000142
28,2496.05,1.50891,0.95035,1.27596,0.70313,0.70495,0.75122,0.43779,1.54697,0.96243,1.2788,0.000109,0.000109,0.000109
29,2584.38,1.5141,0.95087,1.27837,0.69352,0.70844,0.74989,0.4381,1.54086,0.95976,1.27765,7.6e-05,7.6e-05,7.6e-05
30,2672.74,1.50279,0.93498,1.26744,0.68956,0.71306,0.75072,0.43942,1.54105,0.95051,1.27795,4.3e-05,4.3e-05,4.3e-05
